disease,risk_factor,region,sex,age,value
Asthma,Tobacco,Central Latin America,Male,20 to 24,1.9
Asthma,Tobacco,Central Latin America,Male,25 to 29,1.9
Asthma,Tobacco,Central Latin America,Male,30 to 39,1.9
Asthma,Tobacco,Central Latin America,Male,40 to 49,1.9
Asthma,Tobacco,Central Latin America,Male,50 to 59,1.9
Asthma,Tobacco,Central Latin America,Male,60 to 69,1.9
Asthma,Tobacco,Central Latin America,Male,70 to 79,1.9
Asthma,Tobacco,Central Latin America,Male,80 to 100,1.9
Asthma,Tobacco,Central Latin America,Female,15 to 19,2.02
Asthma,Tobacco,Central Latin America,Female,20 to 24,2.02
Asthma,Tobacco,Central Latin America,Female,25 to 29,2.02
Asthma,Tobacco,Central Latin America,Female,30 to 39,2.02
Asthma,Tobacco,Central Latin America,Female,40 to 49,2.02
Asthma,Tobacco,Central Latin America,Female,50 to 59,2.02
Asthma,Tobacco,Central Latin America,Female,60 to 69,2.02
Asthma,Tobacco,Central Latin America,Female,70 to 79,2.02
Asthma,Tobacco,Central Latin America,Female,80 to 100,2.02
COPD,Tobacco,Central Latin America,Male,15 to 19,10.8
COPD,Tobacco,Central Latin America,Male,20 to 24,10.8
COPD,Tobacco,Central Latin America,Male,25 to 29,10.8
COPD,Tobacco,Central Latin America,Male,30 to 39,10.8
COPD,Tobacco,Central Latin America,Male,40 to 49,10.8
COPD,Tobacco,Central Latin America,Male,50 to 59,10.8
COPD,Tobacco,Central Latin America,Male,60 to 69,10.8
COPD,Tobacco,Central Latin America,Male,70 to 79,10.8
COPD,Tobacco,Central Latin America,Male,80 to 100,10.8
COPD,Tobacco,Central Latin America,Female,15 to 19,12.3
COPD,Tobacco,Central Latin America,Female,20 to 24,12.3
COPD,Tobacco,Central Latin America,Female,25 to 29,12.3
COPD,Tobacco,Central Latin America,Female,30 to 39,12.3
COPD,Tobacco,Central Latin America,Female,40 to 49,12.3
COPD,Tobacco,Central Latin America,Female,50 to 59,12.3
COPD,Tobacco,Central Latin America,Female,60 to 69,12.3
COPD,Tobacco,Central Latin America,Female,70 to 79,12.3
COPD,Tobacco,Central Latin America,Female,80 to 100,12.3
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,2.158091976813029
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,2.158091976813029
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,2.158091976813029
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,2.162737553894585
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,2.166899945992902
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,2.166899945992902
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,2.1641693725681557
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,2.15900542226146
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,2.15900542226146
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.6195896227342823
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.6195896227342823
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.6195896227342823
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.60945615866815
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,1.5950834430830376
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,1.5950834430830376
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.5817625364501757
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.519688047032119
Epilepsy,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.519688047032119
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.1336453332787697
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.1789186890028907
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,1.2413826165251978
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,1.351517645179261
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.4916034704358963
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,1.6073145554964041
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.6647048795672759
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.6317111828840922
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.6317111828840922
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.0954798398251682
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.123284815500663
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.1600860168523832
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.218240001189074
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,1.2848803282760546
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,1.3416994682549188
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.3646044148229362
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.3233402973385044
Liver Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.3233402973385044
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,3.0581280034828517
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,3.675437584406112
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,4.463521574798701
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,5.608775844332634
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,6.3698575139509215
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,5.990212020020649
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,4.62749860355708
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,2.9176020715616993
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,2.9176020715616993
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.9508670326425426
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,2.2203900208738485
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,2.568159540981875
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,3.0528331297157374
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,3.394417083305374
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,3.3370165115937027
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,2.7241231152484984
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.7859974978398756
Oral Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.7859974978398756
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.164291267354452
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.1823201993047534
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,1.1959486270990964
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,1.200816222031544
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.1830454988765828
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,1.1495181189088028
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.1123786245589993
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.0824645179533852
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.0824645179533852
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.0934688907123316
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.100828823220777
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.1042159114852568
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.0965888939803947
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,1.0751034970009177
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,1.051312400036626
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.0291286742947399
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.0153242924289385
Pancreatic Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.0153242924289385
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,2.3347482969739612
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,2.6047856934013383
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,2.8806066071895997
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,3.1476809652645423
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,3.137440389273765
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,2.8200543291464957
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,2.3522207595254736
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.8741762181394874
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.8741762181394874
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.4530632907124401
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.5634649230895068
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.699062067062198
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.87831864690853
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,2.0084755365992337
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,2.0189086374489755
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.8355611591321999
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.4723126502124995
Larynx Cancer,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.4723126502124995
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.3019361803306126
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.3562600637740687
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,1.4143667210605333
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,1.4818864227584936
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.5124740365790132
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,1.478116382419115
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.3832152642342144
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.2399326591193445
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.2399326591193445
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.1952427943775992
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.2252932511626664
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.2548957667807157
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.2791524617074268
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,1.2762055194629265
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,1.2474467519981618
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.1885337362093353
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.1047563016372768
Lower Respiratory Infections,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.1047563016372768
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.3121736425869157
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.4095821483743256
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,1.5397671904823675
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,1.7545647458393003
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.9741460926250358
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,2.0422064040354533
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.8765423578130207
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.484321733132783
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.484321733132783
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.1908117222630452
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.3025943403528957
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.4772687780545688
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.8119332223931197
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,2.2487414467456093
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,2.5572892578927693
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,2.4119518108677873
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.7369109476263274
Hemorrhagic Stroke,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.7369109476263274
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.3596386337113646
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.6659102584426817
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,2.219558475264572
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,3.5985011719087243
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,6.068500815179764
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,7.923584933199898
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,6.702936715075065
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,3.0801994984407184
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,3.0801994984407184
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.3968401933050265
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.564147015133833
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.821156391604411
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,2.2518183199662807
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,2.7022856481833237
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,2.9401341146975017
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,2.3843390308611387
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.3157803359620603
Tuberculosis,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.3157803359620603
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.7541641532661454
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.7541641532661454
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,1.7541641532661454
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,1.7569694540012284
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.759482976306019
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,1.759482976306019
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.7578340789782674
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.7547157508702655
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.7547157508702655
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,2.08289676862599
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,2.08289676862599
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,2.08289676862599
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,2.0536784672949575
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,2.012236929419022
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,2.012236929419022
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.9738281225725718
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.7948457800142636
Hypertension,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.7948457800142636
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,3.1646777330174483
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,3.826788063745091
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,4.694618150991871
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,6.070346364379998
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,7.380491222077598
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,7.830309150098479
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,7.324315369087088
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,6.105803038721562
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,6.105803038721562
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,3.3347546015481386
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,4.143336517772463
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,5.283544461284979
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,7.185881014633492
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,9.243143814322858
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,10.463508882065879
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,9.927225480512192
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,7.440219378897396
Liver Cirrhosis,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,7.440219378897396
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.1269330823891335
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.1855327342409567
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,1.2690640249387606
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,1.424957609843611
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.6236292178300589
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,1.768117640805142
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.7825965700873478
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.6128276296181516
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.6128276296181516
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.007458922984986
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.0406444611283794
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.0941705379220936
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.1979998301927188
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,1.3357009965193265
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,1.450893066307247
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.471603523298589
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.3341118032464157
Conduction Disorders,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.3341118032464157
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.8824423297955442
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,2.0006872139406178
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,2.0888047567854384
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,2.108915336348589
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.9715245363313145
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,1.7584826806521114
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.567369618183905
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.4578037471248697
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.4578037471248697
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.2906002539845214
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.3239284491860142
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.3486424740037486
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.3431524740464682
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,1.2939187140827841
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,1.2382890525498278
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.177608264792992
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.1192555931923251
Pancreatitis,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.1192555931923251
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,15 to 19,1.87647047234882
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,20 to 24,1.87647047234882
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,25 to 29,1.87647047234882
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,30 to 39,1.87474264321372
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,40 to 49,1.872868831998
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,50 to 59,1.872868831998
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,60 to 69,1.8750337901677
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,70 to 79,1.87788241648125
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Male,80 to 100,1.87788241648125
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,15 to 19,1.97760010496196
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,20 to 24,1.97760010496196
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,25 to 29,1.97760010496196
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,30 to 39,1.9732835343831
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,40 to 49,1.9686174579631
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,50 to 59,1.9686174579631
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,60 to 69,1.97167148241855
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,70 to 79,1.97561765734115
Injuries and Violence,Hazardous and harmful alcohol use,Central Latin America,Female,80 to 100,1.97561765734115
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,15 to 19,1.00000000261264
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,20 to 24,1.00000000261264
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,25 to 29,1.00000000261264
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,30 to 39,1.00000002256839
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,40 to 49,1.00000004734172
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,50 to 59,1.00000004734172
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,60 to 69,1.00000002643483
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,70 to 79,0.999999997995301
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Male,80 to 100,0.999999997995301
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,15 to 19,1.21675094187695
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,20 to 24,1.21675094187695
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,25 to 29,1.21675094187695
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,30 to 39,1.20935170491014
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,40 to 49,1.20015901731466
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,50 to 59,1.20015901731466
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,60 to 69,1.17526424252189
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,70 to 79,1.14271279972368
Ischemic Heart Disease,Hazardous and harmful alcohol use,Central sub-Saharan Africa,Female,80 to 100,1.14271279972368
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Male,30 to 39,1.66
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Male,40 to 49,1.66
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Male,50 to 59,1.66
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Male,60 to 69,1.66
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Male,70 to 79,1.51
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Male,80 to 100,1.51
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Female,30 to 39,1.66
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Female,40 to 49,1.66
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Female,50 to 59,1.66
Ischemic Heart Disease,Physical Inactivity,Central sub-Saharan Africa,Female,60 to 69,1.66
